Variable Name,Definition,Stage,ConceptualIndex_Raw,ConceptualIndex_Rank,Comments
HEROP_ID,HEROP ID - Tract ID (to Census 2020),,,,
HEROP_County.y,HEROP ID - County ID (to Census 2020),,,,
HEROP_State,HEROP ID - State ID (to Census 2020),,,,
EngProf,Limited to No English Proficiency %,1,,,
LimEngProfSc,Limited to No English Proficiency - Scaled Direction,1,1,,
CompHhldsP,Computers per Hhld %,1,,,
BbndInternetP,Broadband Internet Access per Hhld %,1,,,
IntInd,Internet Index - Accounts for both Computers per Hhld & Bbnd Internet,1,1,,
LibPerCap,Libraries per Capita,1,,,
RlgPerCap,Religious Institutions per Capita,1,,,
LngTermP,Long Term Residency (20 yrs or more) %,1,,,
SocCapInd,"Social Capital Index - Accounts for Libraries, Religioius Inst, Long Term Residency",1,1,,
LibPer10k,"Libraries per 10,000 persons ",1,,,
RlgPer10k,"Religious Institutions per Capita per 10,000 persons ",1,,,
HEROP_County.x,HEROP ID - County ID (to Census 2020),,,,
RspRt,^ Census Response Rate (County-Level),1,1,,
IntIndPPL,Internet Index Percentile Rank,1,,1,
CenRspRtPPL,Census Response Rate Percentile Rank,1,,1,
SocCapIndPPL,Social Capital Index Percentile Rank,1,,1,
LimEngProfPPL,Limited to No English Proficiency Percentile Rank,1,,1,
Stage1,Stage 1 Index (Sums Percenile Ranks),1,,,
Stage1W,Stage 1 Index Weighted by Advisory,1,,,
Stage1PC,Stage 1 Index Scaled (Experimental),1,,,
Stage1Cat,Stage 1 Quantile Category ,1,,,
MOUDType,Types of MOUDs within 30 minute driving distance,2,1,,
abst2,Spatial availability of abstinence-focused services,2,1,,Temp: Waiting for Travel Time w/Impedance measure
abst2Sc,Spatial availability of abstinence-focused services - Scaled,2,,,"Check: Should this not be scaled, as we hypothesize better access == more vulnerable??"
ssp2,Spatial availability of syringe exchange program services,2,1,,Temp: Waiting for Travel Time w/Impedance measure; Temp: Waiting for alternate SSP resource
ssp2Sc,Spatial availability of syringe exchange program services  - Scaled,2,,,
pastMethd10,Methadone availability in 2010 (proxy for historic access),2,1,,Temp: Waiting for Travel Time w/Impedance measure
pastMethd10Sc,Methadone availability in 2010 - Scaled,2,,,
pastMethd10ScPPL,Methadone availability in 2010 Percentile Rank,2,,,
ssp2ScPPL,Spatial availability of syringe exchange program services Percentile Rank,2,,1,
abstPPL,Spatial availability of  abstinence-focused services services Percentile Rank,2,,1,
MOUDTypePPL,Types of MOUDs within 30 minute driving distance Percentile Rank,2,,1,
Stage2,Stage 2 Index (Sums Percenile Ranks),2,,,
Stage2Cat,Stage 2 Quantile Category ,2,,,
DisbP,,3,,,
DisbPSc,,3,,,
FqhcTmDr2,,3,,,
FqhcTmDr2Sc,,3,,,
NoVehHHld,,3,,,
CommTransit,,3,,,
CommWalking,,3,,,
NoVehHHldSc,,3,,,
CommTransitSc,,3,,,
CommWalkingSc,,3,,,
MetTmDr2,,3,,,
BupTmDr2,,3,,,
NaltTmDr2,,3,,,
MetTmDr2Sc,,3,,,
BupTmDr2Sc,,3,,,
NaltTmDr2Sc,,3,,,
PharmTmDr2,,3,,,
PharmTmDr2Sc,,3,,,
BupPolRst,,3,,,
BupPolRstSc,,3,,,
OdMortRtAv,,3,,,
OdMortRtAvSc,,3,,,
DisbPScPPL,,3,,,
FqhcTmDr2ScPPL,,3,,,
NoVehHHldScPPL,,3,,,
MetTmDr2ScPPL,,3,,,
BupTmDr2ScPPL,,3,,,
NaltTmDr2ScPPL,,3,,,
PharmTmDr2ScPPL,,3,,,
OdMortRtAvScPPL,,3,,,
BupPolRstScPPL,,3,,,
Stage3,,3,,,
Stage3Cat,,3,,,
Stage3PC,,3,,,
PovP,,4,,,
PovPSc,,4,,,
PrivateInsP,,4,,,
MedPolProp,,4,,,
PovPPL,,4,,,
PrivateInsPPL,,4,,,
MedPolPropPPL,,4,,,
Stage4,,4,,,
Stage4Cat,,4,,,
Stage5PC,,4,,,
supportive,,4,,,
supportiveSc,,4,,,
HistRstMMTOrd,,4,,,
supportiveScPPL,,4,,,
HistRstMMTPPL,,4,,,
Stage5,,5,,,
Stage5Cat,,5,,,
AccessScore,,5,,,
AccessScoreSc,,5,,,
PC1f,PC1 - Uses all raw measures,,,,
PC2f,PC1 - Uses all raw measures,,,,
PC3f,PC1 - Uses all raw measures,,,,
PC4f,PC1 - Uses all raw measures,,,,
PC5f,PC1 - Uses all raw measures,,,,
PC6f,PC1 - Uses all raw measures,,,,
PC7f,PC1 - Uses all raw measures,,,,
PC8f,PC1 - Uses all raw measures,,,,
